dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
CBF,0.9853463749493926,0.9794502526954034,0.7687240754730228,0.6514976786311263,0.6838032993437809,0.682091203144473,0.7799555266999614,0.0,0.5813571299610009,0.8449655143295814,0.0,0.8403261865611337,0.9375373946311436,0.8403261865611337,0.0,0.8449655143295814,0.8449655143295814,0.9218751628788221,0.0,0.8407275368115885,0.8449655143295814,0.8455977338312203,0.0,0.8403261865611337,0.0,0.8449655143295814,0.8449655143295814,0.6764667013640729,0.8449655143295814
ChlorineConcentration,0.2835384335728242,0.938386411154415,0.08159564453727708,0.0909777917438432,0.09913115430831336,0.1163554503595631,0.1023255850153907,0.0006992489915758595,0.0007039805913888168,0.1222188049049991,0.0,0.0007049561572918036,0.0006992489915758595,0.0007049561572918036,-4.030242785519071e-07,0.1222188049049991,0.0007156676716430239,0.0006992489915758595,0.0,0.0006992489915758595,0.000710948180955832,0.06258076243147882,0.03519914983569678,0.0007049561572918036,0.0,0.000710948180955832,0.000710948180955832,0.016293688651581737,0.000710948180955832
CinCECGtorso,0.9796436472777204,0.6409677052132828,0.9817503357531384,0.1852136536038891,0.22176259172425625,0.21035334930789729,0.2055422741015056,0.0,0.9183874325637528,0.23749287675107705,0.0,0.2364872730228737,0.0,0.2364872730228737,0.0,0.23749287675107705,0.2002545811908891,0.0,0.0,0.2336818853789821,0.2337572666425503,0.22502820549893005,0.08484558254120451,0.2364872730228737,0.0,0.2337572666425503,0.2337572666425503,0.2349079345451604,0.2337572666425503
DistalPhalanxOutlineCorrect,0.3805807255133205,0.5384395862234437,0.11921758650266337,0.1480616235441841,0.12082709142149164,0.2834150060897282,0.05981117400144545,0.010991420604027415,0.3390053920287328,0.3821414698349299,0.014465625310880529,0.38128777942197456,0.4561451487895961,0.38128777942197456,0.4520641605978863,0.3821414698349299,0.3821414698349299,0.39024737053334996,0.0,0.40809263798031453,0.3821414698349299,0.3770892532826807,0.010991420604027415,0.38128777942197456,0.0,0.3821414698349299,0.3821414698349299,0.3255706449116867,0.3821414698349299
ECG5000,0.9011931498973218,0.8852282561651952,0.8773296696991079,0.8114362953186962,0.8332546700516836,0.6777769375489384,0.8322968192986037,0.0016201351617961958,0.7817231024240221,0.7504743080917856,0.0016201351617961958,0.7530854728462747,0.8233033544266516,0.7535352220071364,0.0016199448583747408,0.7716105787669391,0.7504746767057879,0.84264855486099,0.0,0.7541019351449101,0.7504740553980629,0.7518673495643058,0.7345875455180978,0.7535352220071364,0.0,0.7504740553980629,0.7504740553980629,0.7440131433920614,0.7504740553980629
ECGFiveDays,0.9723483840379274,0.9858589740749644,0.9077719710204154,0.7621787649331431,0.8090312533077879,0.5976470575013481,0.8668729404212165,0.0,0.3281608683874848,0.6620581775351105,0.0,0.6536375040225417,0.8448307436159427,0.6536375040225417,0.0,0.6620581775351105,0.6620581775351105,0.8448307436159427,0.0,0.6739564496701704,0.6620581775351105,0.6581010649243094,0.0,0.6536375040225417,0.0,0.6620581775351105,0.6620581775351105,0.5700643400239721,0.6620581775351105
ElectricDevices,0.6815796409175178,0.6328471147366546,0.5261637979568117,0.17398187110378727,0.19370640764647976,0.4445084334685456,0.1722081293893497,0.0,0.244062225919304,0.4555755621267245,0.0,0.4714960646166138,0.4622543321712429,0.4629705639625965,2.684946496268337e-13,0.4555755621267245,0.4555755621267245,0.4570635428030419,0.0,0.451939791612669,0.4555755621267244,0.4684245430581246,0.04698960268620187,0.4629705639625965,0.0,0.4555755621267244,0.4555755621267244,0.4451738027479949,0.4555755621267244
FaceAll,0.9341868716587864,0.9537805358867998,0.7286445891848157,0.6245324017787494,0.6376993740354278,0.6338095320784481,0.7017926123332143,0.0,0.5154744874840439,0.8294903659887977,0.0,0.7970570019209982,0.871211775742754,0.7992065843729741,0.0,0.8294903659887977,0.8285394025588187,0.8688912492610138,0.0,0.7910640014290047,0.7356652236637042,0.8492613784267843,0.1430329787292132,0.80121529341831,0.0,0.7356652236637042,0.7356652236637042,0.5875456715158469,0.7356652236637042
FacesUCR,0.9474832377176804,0.9575817297223328,0.722795061974006,0.61855874548703,0.6351263166645282,0.6598581636545691,0.7080531505123544,0.0,0.4047660418236237,0.8419377511259893,0.0,0.7998212227803178,0.8714933399083541,0.8131376868453964,-0.00015534232301698582,0.8419377511259893,0.8419488323684459,0.8735061020508378,0.0,0.8140210332628582,0.7774214768324923,0.8607150129385387,0.1474059545434573,0.8133775545012962,0.0,0.7774214768324923,0.7774214768324923,0.7071575603690609,0.7774214768324923
FiftyWords,0.4909500128811529,0.6180307239510914,0.3754012911688545,0.2311422274973061,0.21507885604934693,0.4915738617196674,0.2597147095543993,0.0,0.4292344766917624,0.5298396271199441,0.0,0.4888712470866925,0.4573994935108144,0.4888712470866925,0.003485782588782838,0.5298396271199441,0.5281710317732428,0.4507889456722613,0.0,0.5191863891692188,0.5272626168853816,0.5207227458702697,0.0,0.4888712470866925,0.0,0.5272626168853816,0.5272626168853816,0.213840955485444,0.5272626168853816
